year,doy,hour,mean,std
2013,205,11,0.209304,0.0324
2013,260,9,0.11242799999999999,0.02795051684674186
2014,167,9,0.099144,0.0324
2014,337,8,0.0019439999999999998,0.0324
2015,98,11,0.040175999999999996,0.0324
2015,169,9,0.072252,0.006873077913133238
2015,169,9,0.023003999999999997,0.0004582051942088832
2015,203,7,0.115344,0.0324
2015,203,7,0.049248,0.0324
2015,203,8,0.101088,0.0324
2015,203,8,0.041472,0.0324
2015,283,14,0.023975999999999997,0.0064148727189243596
2015,283,14,0.05281199999999999,0.00687307791313324
2015,324,12,0.012312,0.0324
2015,324,12,0.028512,0.0324
2016,82,12,0.0162,0.0324
2016,82,12,0.032157,0.0012600642840744274
2016,134,8,0.040985999999999995,0.007102180510237684
2016,134,8,0.016524,0.0004582051942088832
2016,168,12,0.157302,0.034594492162770656
2016,168,12,0.26616599999999996,0.00801859089865548
2016,201,11,0.205416,0.016495386991519763
2016,201,11,0.302292,0.005956667524715511
2016,252,6,0.038534399999999996,0.006292684667135322
2016,252,6,0.018629999999999997,0.0011455129855222042
2016,292,11,0.074844,0.027950516846741852
2016,292,11,0.035316,0.0022910259710444162
2016,341,8,0.014515199999999999,0.0032990773983039563
2016,341,8,0.007451999999999999,0.0032074363594621793
2017,109,9,0.05245714285714286,0.007680391826739366
2017,109,9,0.018954,0.005727564927611032
2017,144,9,0.036288,0.0324
2017,144,9,0.05767199999999999,0.000916410388417774
2017,144,10,0.033263999999999995,0.0324
2017,144,10,0.053784,0.0324
2017,172,6,0.06506999999999998,0.010004146740227265
2017,172,6,0.040338,0.005727564927611035
2017,200,7,0.10908000000000001,0.007636753236814726
2017,200,7,0.065556,0.004429316877352541
2017,262,11,0.05184,0.007331283107342128
2017,262,11,0.085212,0.012371540243639836
2017,311,12,0.021708,0.0059566675247154765
2017,311,12,0.021519000000000003,0.00599485129089955
2018,108,11,0.083592,0.020619233739399726
2018,108,11,0.07840799999999999,0.0324
2018,131,9,0.06804,0.0324
2018,131,9,0.12555,0.032303466191726235
2018,159,13,0.12798,0.038947441507755025
2018,159,13,0.077436,0.030699748011995147
2018,262,7,0.026683714285714286,0.001210970870409188
2018,262,7,0.01701,0.0011455129855222081
2019,155,11,0.029484,0.009622309078386541
2019,155,11,0.050544,0.007331283107342122
2019,197,12,0.178686,0.0011455129855221927
2019,197,12,0.08423999999999998,0.00916410388417766
2019,231,12,0.07614,0.016037181797310902
2019,231,12,0.13089599999999998,0.014662566214684257
2021,112,10,0.07763039999999999,0.0324
2021,112,10,0.034992,0.0324
2021,138,10,0.11890799999999999,0.0324
2021,138,10,0.059292,0.0324
2021,173,11,0.070146,0.0324
2021,173,11,0.14628599999999997,0.0324
2021,201,7,0.034992,0.0324
2021,201,7,0.022032,0.0324
2021,266,7,0.013607999999999999,0.0324
2021,266,7,0.0204768,0.0324
2021,299,11,0.0373248,0.0324
