year,doy,hour,mean,std
2013,203,9,-0.23220000000000002,0.02046649867466343
2013,261,14,0.0432,0.0216
2013,303,10,0.007344000000000001,0.0216
2014,191,11,-0.319032,0.04307128825563499
2015,169,9,-0.085968,0.0665924882250243
2015,202,10,-0.227232,0.009775044143122842
2015,283,12,-0.131112,0.005192992201034003
2016,83,12,-0.031391999999999996,0.0216
2016,83,13,-0.01674,0.0216
2016,134,10,-0.07798680000000001,0.024880542045542332
2016,168,10,-0.367236,0.25746040745714677
2016,200,13,-0.355212,0.08751719209389659
2016,252,12,-0.215676,0.06094129082978143
2016,292,10,-0.13964400000000002,0.04872248565087789
2016,342,9,-0.003672,0.00397111168314365
2017,109,15,-0.025559999999999996,0.004582051942088831
2017,145,10,-0.15422400000000003,0.050708041492449694
2017,171,12,-0.20736000000000002,0.07270189081447608
2017,200,13,-0.012455999999999991,0.1066090751859334
2017,262,13,-0.06256800000000001,0.08665169339372429
2017,311,11,0.04122000000000001,0.01654629867976521
2018,108,10,-0.025776,0.009367750637159382
2018,131,9,-0.035532,0.0216
2018,131,10,-0.025379999999999996,0.0216
2018,159,12,0.005291999999999996,0.0216
2018,159,13,0.052272,0.0216
2018,213,13,-0.21013199999999999,0.003614729865425613
2018,261,14,-0.100296,0.032888950606548714
2019,114,10,-0.07307999999999999,0.014560742838193398
2019,155,11,-0.250992,0.11668958945852882
2019,199,12,-0.21524400000000002,0.06460693238345248
2019,231,12,-0.22323600000000002,0.04902795578035043
2021,112,10,-0.019944000000000003,0.0216
2021,138,10,-0.04888800000000002,0.0216
2021,174,9,-0.4007232,0.0216
2021,201,14,-0.0521856,0.0216
2021,235,9,-0.31892400000000004,0.0216
2021,265,10,-0.241488,0.0216
2021,299,10,-0.11988,0.0216
